Height/width [cm];Load (UDL) [kN];Displ. [cm];Beam lenght [m]
52.634548;10.52691;0.143302;5.263455
77.671646;15.534329;0.309394;7.767165
68.958411;13.791682;0.244427;6.895841
95.500939;19.100188;0.466169;9.550094
61.837682;12.367536;0.197014;6.183768
98.183891;19.636778;0.492533;9.818389
94.931505;18.986301;0.460667;9.493151
50.575886;10.115177;0.132455;5.057589
91.401893;18.280379;0.427291;9.140189
53.57655;10.71531;0.148408;5.357655
51.899971;10.379994;0.139383;5.189997
87.74935;17.54987;0.394073;8.774935
82.134434;16.426887;0.345631;8.213443
75.790693;15.158139;0.294722;7.579069
50.623348;10.12467;0.132701;5.062335
55.885282;11.177056;0.1613;5.588528
77.272482;15.454496;0.306251;7.727248
70.336014;14.067203;0.25419;7.033601
68.113469;13.622694;0.238534;6.811347
93.32978;18.665956;0.445365;9.332978
85.424518;17.084904;0.373631;8.542452
61.28973;12.257946;0.193577;6.128973
87.621408;17.524282;0.392934;8.762141
69.922742;13.984548;0.251241;6.992274
63.62125;12.72425;0.20841;6.362125
62.32627;12.465254;0.200104;6.232627
50.436364;10.087273;0.131736;5.043636
84.655812;16.931162;0.366991;8.465581
54.951837;10.990367;0.156023;5.495184
89.120061;17.824012;0.406381;8.912006
64.774564;12.954913;0.21595;6.477456
90.189523;18.037905;0.416116;9.018952
61.157868;12.231574;0.192754;6.115787
89.307197;17.861439;0.408077;8.93072
86.108785;17.221757;0.379591;8.610878
58.340871;11.668174;0.175601;5.834087
99.344152;19.86883;0.504158;9.934415
66.245293;13.249059;0.22576;6.624529
61.747855;12.349571;0.196448;6.174786
69.768934;13.953787;0.250148;6.976893
88.01691;17.603382;0.396461;8.801691
77.013681;15.402736;0.304221;7.701368
85.161683;17.032337;0.371354;8.516168
75.797276;15.159455;0.294773;7.579728
93.386169;18.677234;0.4459;9.338617
56.649844;11.329969;0.165687;5.664984
65.45585;13.09117;0.220467;6.545585
67.936123;13.587225;0.237306;6.793612
59.006533;11.801307;0.179582;5.900653
56.431728;11.286346;0.16443;5.643173
54.411449;10.88229;0.153008;5.441145
94.559605;18.911921;0.457091;9.45596
77.256322;15.451264;0.306124;7.725632
82.828367;16.565673;0.351446;8.282837
67.540041;13.508008;0.234576;6.754004
91.344818;18.268964;0.426761;9.134482
90.050238;18.010048;0.414842;9.005024
99.035668;19.807134;0.501054;9.903567
81.879689;16.375938;0.343509;8.187969
99.511412;19.902282;0.505846;9.951141
97.747527;19.549505;0.488195;9.774753
60.275693;12.055139;0.187297;6.027569
95.624049;19.12481;0.467363;9.562405
52.281833;10.456367;0.141414;5.228183
88.801986;17.760397;0.403508;8.880199
61.710448;12.34209;0.196213;6.171045
76.591482;15.318296;0.300925;7.659148
92.827237;18.565447;0.440618;9.282724
89.681909;17.936382;0.411481;8.968191
92.282477;18.456495;0.4355;9.228248
56.54113;11.308226;0.16506;5.654113
61.027189;12.205438;0.191941;6.102719
58.588159;11.717632;0.177074;5.858816
98.344534;19.668907;0.494134;9.834453
55.31287;11.062574;0.158053;5.531287
58.410838;11.682168;0.176017;5.841084
76.128047;15.225609;0.297327;7.612805
61.824131;12.364826;0.196929;6.182413
76.536574;15.307315;0.300497;7.653657
56.971406;11.394281;0.16755;5.697141
96.87042;19.374084;0.479535;9.687042
82.500241;16.500048;0.34869;8.250024
75.649279;15.129856;0.293633;7.564928
98.52011;19.704022;0.495888;9.852011
84.708612;16.941722;0.367445;8.470861
70.21496;14.042992;0.253324;7.021496
62.933202;12.58664;0.203976;6.29332
78.329501;15.6659;0.31461;7.83295
71.767156;14.353431;0.264534;7.176716
94.763967;18.952793;0.459054;9.476397
68.290633;13.658127;0.239764;6.829063
50.308484;10.061697;0.131078;5.030848
84.365604;16.873121;0.3645;8.43656
62.236443;12.447289;0.199534;6.223644
72.021408;14.404282;0.266393;7.202141
77.741216;15.548243;0.309944;7.774122
81.389632;16.277926;0.339444;8.138963
82.879851;16.57597;0.351879;8.287985
86.99529;17.399058;0.387383;8.699529
81.675721;16.335144;0.341814;8.167572
80.058362;16.011672;0.328524;8.005836
72.628613;14.525723;0.27086;7.262861
78.254214;15.650843;0.31401;7.825421
66.724056;13.344811;0.229;6.672406
99.890598;19.97812;0.509681;9.98906
93.38426;18.676852;0.445882;9.338426
85.971446;17.194289;0.378391;8.597145
78.911787;15.782357;0.319262;7.891179
77.515497;15.503099;0.308162;7.75155
59.129203;11.825841;0.180321;5.91292
65.216771;13.043354;0.218877;6.521677
