Length [m];Hei/Wid [cm];Load [kN/m];Disp [cm]
9.601402;32.139494;15.556859;0.924524
6.845834;17.363422;11.217279;2.019991
8.944537;37.216089;10.254985;0.255692
7.011414;26.211545;16.784868;0.641628
6.937048;18.824198;12.008702;1.650925
6.214009;25.681319;18.026194;0.461712
9.483634;13.545934;13.396687;23.95977
5.411163;13.804257;11.713845;2.061178
9.280732;35.599774;18.505052;0.638298
8.525479;27.883440;14.871336;0.969613
8.799455;20.043510;19.096763;5.285068
9.458252;32.221139;15.897588;0.880782
5.969585;21.658194;15.832959;0.682143
7.380513;35.647719;12.337454;0.169655
6.054309;34.503012;14.226723;0.101168
5.474178;28.426764;11.336153;0.116774
8.969202;25.005076;12.064980;1.488921
9.268907;24.798355;11.327756;1.647944
9.121959;29.967965;15.068059;0.965050
5.598589;28.425227;11.086307;0.124931
8.227368;21.674602;11.328332;1.752902
6.080510;17.764084;13.015035;1.332169
5.534454;35.102399;15.666025;0.072753
6.164751;12.303207;19.205969;9.016902
9.276882;36.945482;19.409889;0.576372
5.247390;39.544708;19.201691;0.044924
7.808549;10.860735;14.956724;29.75031
8.777223;25.437534;12.737244;1.346214
9.362066;34.217488;17.420860;0.728803
8.956325;37.485793;10.411212;0.253542
5.342547;32.045290;14.011765;0.081267
9.704603;22.586135;18.981551;4.820173
9.766229;22.037933;18.492832;5.313491
5.990318;31.017862;12.031271;0.125361
8.201185;38.974098;12.913695;0.189450
5.318387;11.053814;10.065770;4.017785
5.423373;24.450863;18.787163;0.340064
7.858480;35.180001;11.069707;0.206099
7.849345;19.851587;10.869035;1.979873
7.385967;34.412130;11.502821;0.182614
5.879683;28.480544;10.560996;0.143570
5.898363;16.475739;12.520433;1.533245
7.918309;10.528560;14.515755;34.56892
7.139050;31.064487;19.764890;0.412143
5.202576;27.399044;11.194210;0.109024
5.222356;17.270006;14.401958;0.898467
9.651976;33.449357;16.328952;0.844837
5.063611;23.247209;18.704250;0.314904
8.182353;17.034397;18.324892;7.266371
6.541074;36.724045;14.733883;0.111203
7.645064;25.343159;14.938645;0.922961
7.794601;28.699694;16.877260;0.685546
6.224933;34.182487;13.671791;0.112722
7.525036;33.212334;10.424817;0.205406
5.100956;23.344786;18.694613;0.318734
8.520892;24.375411;12.541823;1.396304
6.311381;22.261023;15.551253;0.749946
7.779786;34.912881;11.049015;0.203718
7.734532;29.266064;17.374979;0.632926
6.689658;19.279490;12.807011;1.384145
8.405460;24.820585;13.069470;1.281743
5.706412;28.108399;10.659443;0.135539
6.049098;19.586769;14.292984;0.969996
5.324407;38.113980;18.093840;0.051928
8.182931;35.838150;10.859571;0.220669
9.094852;37.457374;10.115212;0.262690
9.692024;20.183206;17.404756;6.893438
9.979267;30.640332;13.801687;1.158176
9.179328;36.673622;19.423759;0.569494
5.735923;33.449198;14.160953;0.091883
5.050805;13.975900;12.548990;1.595740
6.110722;29.825075;10.995274;0.145019
6.419562;14.946768;10.458721;2.651545
6.735992;35.555835;13.565239;0.130919
9.718906;39.944683;10.525311;0.275611
7.329005;15.198863;18.807899;7.574302
8.162201;17.235524;18.499280;6.930586
8.395403;14.037912;15.901135;15.14565
5.962175;24.904163;18.011759;0.442156
9.054526;29.675476;15.007931;0.970413
5.595414;16.095350;12.872739;1.401829
7.744938;27.613526;16.252474;0.750724
5.594870;18.403137;14.412352;0.918543
7.820992;37.493443;12.686977;0.179750
6.311261;22.142634;15.472567;0.762154
7.547946;13.345595;17.134505;13.05492
8.479670;28.403649;15.309760;0.907409
7.241192;28.825599;18.068014;0.537468
5.889363;17.673076;13.336659;1.226443
9.680293;24.598687;10.371872;1.853803
9.007006;28.792792;14.514516;1.036803
7.643587;29.537982;17.738148;0.594006
5.123948;15.913937;13.694728;1.097759
6.159687;10.572097;18.062024;15.49802
8.980507;19.591545;18.433351;6.062465
5.173272;10.372145;19.901553;9.172973
9.849266;36.888970;18.227449;0.691630
7.593902;12.414579;16.421915;17.11772
8.956119;35.226336;18.905319;0.590022
6.107724;29.941670;11.078998;0.143586
5.530332;37.086800;16.997202;0.063234
9.672709;12.809025;12.527265;30.32321
5.884283;26.573587;19.280491;0.346655
7.446430;23.585199;14.163939;1.049797
6.490269;32.748145;12.184893;0.140759
6.534342;35.518083;13.943371;0.119721
6.375039;23.752926;16.418539;0.636064
9.488941;38.626652;10.106552;0.274991
7.806131;33.267652;19.899507;0.450881
7.771950;18.145922;19.886714;4.986069
5.358690;17.139887;14.042544;1.000823
7.915978;18.223110;19.650118;5.212767
6.817611;20.008718;13.037256;1.310303
8.680005;39.590588;12.367048;0.213712
6.094244;13.184140;19.934272;6.779230
5.660522;37.207059;16.816996;0.067754
5.111542;19.705262;16.247091;0.549368
8.228105;22.093326;11.606007;1.664253
9.013146;25.971346;12.621273;1.364994
5.634985;32.492555;13.725066;0.093141
5.615182;19.053726;14.805453;0.833306
7.450831;31.357607;19.336742;0.460625
9.089904;22.967256;10.465028;1.913522
9.499035;22.074935;19.051887;4.866806
6.728917;14.656407;19.646437;6.502333
7.407218;24.437918;14.810842;0.932658
5.986773;23.911139;17.300546;0.507875
5.259875;14.374671;12.396697;1.656631
7.755486;25.964289;15.131888;0.898747
9.545634;39.572538;10.623758;0.268770
7.479740;18.309893;10.580450;2.195617
5.568299;14.820945;12.077364;1.793606
9.439284;18.811576;16.995816;8.024696
9.854450;34.962494;16.932762;0.797648
8.524194;32.588676;18.010729;0.629593
5.922705;13.286325;10.345474;3.043387
6.860655;11.039939;16.971982;18.84558
8.148439;34.817938;10.248414;0.229783
6.330724;14.745298;10.502085;2.658662
9.776919;26.624551;11.529196;1.562723
6.172907;29.592669;10.715966;0.151823
8.990729;29.776997;15.203207;0.942713
9.435062;35.557947;18.168508;0.672495
8.117412;39.527154;13.449945;0.179049
9.321603;17.458800;16.329328;9.882207
6.091028;20.569681;14.864398;0.852776
5.825976;19.529264;14.700892;0.868744
6.443943;16.323349;11.327680;2.050249
5.065443;37.387957;18.127753;0.046063
8.319985;22.384487;11.616354;1.652556
5.061730;30.666883;13.654463;0.076095
6.621160;24.795644;16.621442;0.630989
8.580756;26.443233;13.800643;1.141228
8.321134;12.733781;15.180253;20.60791
5.492542;20.887944;16.273545;0.580977
8.079501;15.729193;17.660460;9.156423
5.582805;29.841769;12.062237;0.110720
6.385248;14.498652;10.228605;2.866661
5.717513;18.928793;14.517502;0.901605
9.083050;18.310226;17.374050;7.835995
5.547569;21.606945;16.642826;0.540140
6.115164;19.378255;14.021842;1.037210
6.733455;22.662363;14.974664;0.870794
8.260497;33.695114;19.275749;0.520198
5.292211;39.836029;19.306264;0.045378
9.790391;12.318942;11.965179;35.53023
8.476694;39.411534;12.654302;0.202576
6.963161;25.046224;16.104494;0.718133
5.155811;17.001912;14.356319;0.905770
5.171540;39.897815;19.588798;0.041754
8.799866;36.167120;19.845014;0.519671
6.963103;24.887324;15.998677;0.731755
6.897382;17.348028;11.103922;2.067755
9.236227;39.346795;11.092077;0.251720
9.462079;12.899886;13.009100;28.03187
6.624454;29.276729;19.602245;0.384175
8.015770;35.799660;11.168234;0.209898
5.972492;23.440102;17.015083;0.535656
5.177432;14.616135;12.722559;1.493365
5.637889;34.086725;14.782039;0.083062
6.581243;14.908654;10.109951;2.860116
9.542830;17.587790;15.972866;10.30897
5.194433;16.986715;14.268944;0.930819
9.435501;13.579802;13.515534;23.45008
9.483904;18.905655;16.969295;8.003443
5.858579;33.514250;13.959008;0.097778
6.987543;28.377712;18.276722;0.501963
6.118150;16.077795;11.815563;1.846621
9.361908;24.074550;10.659217;1.816633
5.444693;26.859483;10.350269;0.130824
5.339900;23.444556;18.283238;0.367877
5.475407;36.541287;16.743378;0.063500
7.430926;25.889145;15.730912;0.796837
7.247673;36.435072;13.128034;0.153903
9.229350;15.017606;14.886370;15.81095
5.057743;20.214414;16.694124;0.488737
7.257273;17.114634;10.228543;2.463998
6.174565;11.862833;18.892759;10.32684
7.825201;39.691125;14.143681;0.160012
9.531212;15.139859;14.364149;16.79806
7.614334;21.158147;12.210096;1.526769
8.862815;34.483040;18.596397;0.606083
6.288132;39.321436;16.971361;0.083388
9.893903;37.490142;18.538955;0.671494
9.520119;26.217367;11.771341;1.525672
8.098627;15.779559;17.655786;9.123580
9.723779;17.447616;15.517520;11.14725
9.344530;27.096438;12.708566;1.340259
8.859055;39.833895;12.171153;0.222668
8.868089;31.611215;16.671300;0.770728
5.063731;19.929533;16.492226;0.513393
9.610313;16.401667;15.047153;13.20592
6.207816;39.882517;17.506046;0.077244
5.079624;24.842067;19.735463;0.258231
7.501808;13.401572;17.264099;12.62208
6.004738;14.019155;10.669960;2.675735
5.920731;12.391540;19.752897;7.668430
7.297955;19.082560;11.459131;1.827053
8.776593;24.789459;12.306454;1.441562
9.433632;16.321779;15.347256;12.75268
7.802848;23.941230;13.688457;1.151865
7.358544;33.333740;10.838739;0.192500
7.601253;10.971674;15.445277;26.48935
9.711118;30.142430;14.006050;1.125443
9.831640;26.453259;11.305560;1.607918
8.324460;39.625832;13.101636;0.190935
9.532177;38.998179;10.267765;0.273828
9.649708;20.912956;17.975888;6.070088
5.006876;34.329189;16.205707;0.055201
9.404336;32.685472;16.314975;0.834427
9.367180;22.162095;19.373702;4.606935
6.841205;33.936826;12.275475;0.151755
8.147291;23.748977;12.871402;1.329291
5.646221;39.476276;18.358409;0.057862
8.023555;22.928578;12.571943;1.405550
7.718428;20.425614;11.513553;1.749781
8.254699;18.266353;19.001505;5.903598
5.300530;19.496573;15.729989;0.641560
9.915382;27.362435;11.744193;1.509620
6.385277;13.126096;19.313509;8.055576
6.134800;26.066633;18.441488;0.422875
7.643013;11.281274;15.568156;24.41742
7.259095;16.243899;19.644410;5.836480
5.493820;32.463335;13.987917;0.086109
5.380962;16.929950;13.858043;1.054852
5.729587;17.042888;13.236084;1.260779
9.267591;36.658770;19.237332;0.586941
7.351301;11.047078;15.995449;23.35119
9.745866;33.033499;15.863935;0.896848
8.224612;10.998451;14.216410;33.09177
9.137011;17.822874;16.941227;8.714923
9.959318;38.032074;18.769412;0.659095
7.397972;27.073374;16.586305;0.690369
8.391569;33.369346;18.796425;0.561525
6.728364;31.198629;10.675692;0.172750
5.255791;27.824408;11.371357;0.108465
6.261562;33.511366;13.151120;0.120121
6.577014;19.179007;12.965311;1.336950
5.062263;21.036882;17.233395;0.431810
6.195659;26.591535;18.669705;0.411251
8.566450;16.781380;17.388021;8.793454
5.074071;36.534660;17.541632;0.049188
9.337653;32.767249;16.502859;0.812239
9.454719;17.148424;15.856178;10.91072
9.500908;19.449120;17.297597;7.336708
8.222527;25.992707;14.216751;1.061936
6.463021;32.652690;12.175751;0.139933
5.561595;10.406241;19.147637;11.63368
7.056070;11.913490;17.163520;15.72575
9.783380;32.975959;15.750546;0.910526
7.750040;35.752802;11.668456;0.192704
5.620202;32.894967;14.022908;0.089666
7.382573;31.720125;19.714938;0.432399
7.391316;21.663363;12.992945;1.312871
8.298831;30.255146;16.905768;0.714406
5.159834;22.659956;18.120302;0.364216
5.099449;27.089840;11.194329;0.105321
7.107433;18.508339;11.457360;1.856954
9.330156;23.212480;10.148007;1.973884
9.102053;19.410371;18.069476;6.508202
9.056869;12.967062;13.864304;24.56218
7.180876;37.951101;14.272316;0.137064
9.903842;27.879457;12.111953;1.437973
6.782264;33.330738;11.989297;0.153859
5.267325;24.862597;19.373748;0.292010
9.407862;24.130021;10.604290;1.826114
9.443232;16.863452;15.689170;11.48796
9.755722;30.379631;14.074978;1.116365
8.917857;18.277647;17.682718;7.463899
7.767764;35.104170;11.200586;0.200816
6.456866;26.914248;18.362433;0.454536
6.677685;39.087346;16.036194;0.102508
5.238267;38.459691;18.496594;0.047998
8.719723;10.770900;13.074487;41.80166
7.818828;36.344716;11.925489;0.191080
6.060730;29.531973;10.899856;0.144716
8.305360;18.514025;19.065297;5.751924
7.804376;39.095475;13.788232;0.163934
5.992911;23.014215;16.690320;0.573097
7.158435;30.937243;19.641292;0.420859
9.266566;24.390198;11.060334;1.717645
8.705995;36.252529;10.089695;0.250770
5.295232;39.133588;18.831929;0.047612
9.962486;10.057541;10.113389;72.46220
5.474573;15.245649;12.547954;1.555360
8.516810;24.927908;12.918319;1.312499
7.576746;16.311948;19.054474;6.607048
5.006657;15.410011;13.593361;1.129621
5.092738;13.114200;11.890657;2.015408
6.568529;18.538673;12.555390;1.475203
5.156342;10.734567;10.177028;4.035710
9.154129;25.003027;11.693760;1.566249
7.246857;35.966527;12.817303;0.158148
5.960211;11.626511;19.163920;9.857032
7.138790;23.624473;14.805402;0.920993
6.385574;18.830279;13.115705;1.293322
5.170228;18.655203;15.429679;0.679525
7.555389;39.436511;14.513562;0.146471
9.187394;32.285826;16.482429;0.806641
5.093046;35.319099;16.693307;0.054350
8.779294;19.129254;18.527581;6.123224
6.707300;12.273059;18.100773;12.02375
6.643739;32.128594;11.464919;0.156886
9.288306;16.809320;15.962934;11.08189
8.326514;16.061711;17.388113;9.352808
6.072354;36.665456;15.632262;0.088299
5.381935;34.435276;15.526314;0.069634
8.662850;30.949225;16.640451;0.762415
9.572488;25.318648;11.067456;1.685558
7.238101;10.723172;16.005912;24.73571
6.854475;14.145931;19.055005;7.824235
7.295073;27.994365;17.406097;0.599421
6.114522;35.494125;14.767040;0.097579
7.171721;32.275236;10.506715;0.191546
9.835487;35.020173;17.009142;0.789888
5.350873;16.714533;13.774608;1.079092
6.885644;38.817512;15.440387;0.114646
9.941356;27.821916;11.998564;1.458185
6.307692;28.085089;19.441343;0.369870
6.750515;39.934690;16.455429;0.100840
6.831116;17.818073;11.549817;1.859673
9.436576;11.453442;12.095810;41.48671
9.662983;27.265431;12.184321;1.433045
7.349327;39.738974;15.127328;0.132631
7.611422;34.369602;11.023558;0.198286
7.302737;11.911220;16.668673;17.53507
9.430828;13.120819;13.218891;26.26400
9.278056;36.833180;19.332675;0.581392
6.580933;27.146427;18.269086;0.471474
6.433254;27.514437;18.809783;0.420188
5.890502;20.876770;15.470177;0.731832
5.749971;19.077514;14.551735;0.895948
8.616982;16.809649;17.305803;8.900018
5.899865;27.695116;19.997013;0.308109
8.379141;21.807989;11.113712;1.805215
7.559266;22.117138;12.959561;1.318623
7.062257;14.123935;18.624777;8.671143
6.006925;32.324268;12.868995;0.115018
6.635972;33.995830;12.725276;0.138363
9.402218;18.580194;16.915693;8.261027
8.134875;30.492632;17.392005;0.657801
8.913896;25.362723;12.414023;1.412137
5.434169;30.091363;12.525905;0.099882
7.854637;12.391028;15.884745;19.09527
9.714055;14.392743;13.500385;20.85512
7.861269;22.740202;12.770931;1.359949
8.039607;29.508903;16.926721;0.696240
5.075136;13.691291;12.310588;1.732531
6.124724;16.606338;12.154778;1.676465
6.787917;16.909940;11.030793;2.134310
9.499930;20.012767;17.675319;6.685007
5.228872;30.833288;13.431115;0.083372
6.247698;21.351422;15.072219;0.824546
7.436879;32.351137;10.027000;0.209326
8.261930;27.501026;15.143490;0.920358
9.342719;17.675812;16.431771;9.550993
7.044317;25.007628;15.916452;0.747957
9.294411;32.389620;16.337591;0.826737
6.676884;22.439717;14.939376;0.873739
6.023777;14.150491;10.719440;2.622770
6.641527;33.544637;12.413371;0.142832
6.103879;37.602096;16.193639;0.084453
7.081917;13.802798;18.371365;9.481750
8.139234;37.804211;12.257673;0.197022
6.347600;29.846402;10.535736;0.161260
6.104504;35.068416;14.503270;0.099900
8.678092;21.184716;10.100294;2.119272
5.214657;17.799009;14.770026;0.812013
8.792581;20.467247;19.393004;4.921081
7.276221;22.903035;14.049581;1.067550
8.288617;12.590598;15.149832;21.18368
5.878719;16.493244;12.571392;1.512666
8.305385;33.826086;19.273288;0.523339
6.905473;19.504895;12.525650;1.467116
8.615640;19.442058;19.063424;5.476898
7.917220;32.455350;19.135794;0.506303
9.002407;21.362079;19.569905;4.598964
6.808346;24.874404;16.299576;0.682932
7.635273;35.346231;11.626942;0.189369
9.750153;21.629400;18.252627;5.614708
9.263130;22.402318;19.741952;4.300150
9.355691;39.429528;10.908303;0.258402
8.153332;30.226842;17.177897;0.678934
9.793016;20.236486;17.238292;7.041790
6.933324;17.501670;11.134465;2.043659
5.661630;30.043482;12.039061;0.113763
9.502273;37.726092;19.479516;0.585635
6.180103;24.458513;17.278803;0.526104
7.637935;10.194090;14.853523;34.84442
9.036422;14.132177;14.681941;18.27254
5.514949;37.109510;17.043108;0.062554
7.767846;21.734315;12.287186;1.494581
9.330041;19.884551;17.929618;6.473438
5.612195;29.845339;12.005836;0.112479
7.760691;25.035557;14.502322;0.998936
7.030996;32.890536;11.198366;0.174946
6.831980;21.559925;14.042657;1.056150
7.294935;32.287152;10.268232;0.200070
6.507037;22.544625;15.349009;0.794953
8.609551;19.324326;18.997116;5.576206
9.183177;11.555487;12.670637;37.61747
7.824950;21.709893;12.156695;1.529486
6.282556;33.224044;12.917585;0.123748
8.848503;33.703303;18.105197;0.642337
8.499300;14.319343;15.880962;14.67660
8.621211;13.519523;15.103927;18.59451
6.923487;37.007202;14.157827;0.129969
9.342224;11.846527;12.546569;36.11910
8.821239;22.909079;10.963575;1.796269
5.344710;35.045676;16.007696;0.065122
5.340312;36.313734;16.861866;0.059357
5.235970;10.133225;19.616876;10.41440
6.659139;37.043389;14.710649;0.115187
6.926731;10.810318;16.686749;20.94093
6.760647;31.748173;10.977488;0.168875
7.285835;34.115108;11.505068;0.179057
7.950547;17.375254;19.015742;6.210046
7.288901;33.566312;11.133073;0.185158
6.205910;30.302541;11.123208;0.146458
5.685970;39.802920;18.496674;0.058014
6.602231;37.342324;15.023754;0.110101
7.497989;36.726203;12.821491;0.166728
7.576722;17.604919;19.916503;5.090822
9.756159;16.335070;14.711063;13.93734
6.761272;25.793525;17.006473;0.599599
5.520771;30.856282;12.862646;0.098839
6.548678;36.608693;14.641774;0.112421
7.693190;13.980747;17.267452;11.78938
9.144782;34.469338;18.023328;0.666707
6.584645;26.551522;17.865059;0.504819
6.085240;20.895425;15.093137;0.810145
6.707472;29.074927;19.301673;0.408685
5.301309;12.329778;10.950567;2.788270
9.025722;26.021905;12.629827;1.362918
5.566976;20.073913;15.581990;0.687987
6.438179;10.692424;17.585258;17.21059
8.073136;16.205484;17.990718;8.252904
9.304829;36.523538;19.072700;0.600098
6.293716;15.917144;11.357331;2.068892
8.312113;13.982147;16.030538;14.90753
8.738143;33.036280;17.881234;0.653517
5.160049;35.879566;16.932946;0.054547
7.358864;11.549434;16.315228;20.01986
7.293225;15.148414;18.845827;7.542114
8.696110;17.818443;17.820075;7.529850
5.278979;36.976285;17.426232;0.054525
6.108707;24.690927;17.576537;0.491982
7.403310;19.074233;11.242869;1.901570
8.851548;38.097166;11.028348;0.240227
5.474856;30.920449;12.997254;0.095809
9.080449;25.515281;12.182624;1.456882
9.543079;27.993613;12.909584;1.300059
6.089025;11.984611;19.145024;9.501052
5.821067;22.741705;16.852335;0.540295
7.007320;21.982002;13.973361;1.076232
6.685188;14.829283;19.849146;6.107304
5.248229;14.104974;12.240192;1.748772
6.526397;26.888974;18.206522;0.472130
7.087231;17.909779;11.098724;2.028201
7.978529;23.463061;13.018315;1.297911
7.072533;16.910829;10.462153;2.384962
9.230298;33.026455;16.890375;0.769203
5.197442;17.377188;14.523241;0.867192
7.236594;36.357556;13.098517;0.153925
9.259470;24.150251;10.914560;1.757931
8.632839;17.238807;17.560193;8.225227
9.934661;37.803446;18.666309;0.664833
7.633417;21.021484;12.080822;1.565817
6.359755;30.736404;11.104759;0.152330
5.322468;31.055748;13.392230;0.086699
9.212700;27.909624;13.514350;1.196524
8.645718;20.851716;19.943042;4.391969
5.995185;27.649168;19.775742;0.326976
7.893797;26.320394;15.092670;0.911055
6.947827;16.766640;10.615440;2.332284
6.442182;11.462758;18.090808;13.43931
5.139125;35.176769;16.506263;0.056602
5.283497;12.456506;11.070676;2.669796
6.060048;38.516627;16.890988;0.077790
6.482293;28.817239;19.580241;0.374853
9.412064;16.165356;15.286109;13.08024
9.145368;27.534460;13.398904;1.216046
8.841642;15.883580;16.239104;11.61049
8.669926;13.548890;15.026074;18.75675
7.504196;11.036241;15.682435;24.95632
6.542161;32.901812;12.183553;0.142598
5.618448;27.090316;10.156649;0.140629
9.480242;29.588073;14.098232;1.108233
7.018401;14.039902;18.656465;8.676812
8.881788;15.244630;15.732844;13.49774
6.189951;36.587450;15.345066;0.094354
6.546739;29.316510;19.784196;0.367907
7.217598;28.613760;17.973976;0.543521
8.315187;32.454083;18.339015;0.590250
6.239580;37.071318;15.568385;0.093783
9.507845;10.009825;10.990859;66.58479
9.962607;28.502378;12.409705;1.381072
5.122270;15.191878;13.216711;1.273740
8.033754;30.998163;17.931267;0.604162
5.063271;10.579636;10.259882;4.009202
5.344318;39.172839;18.759922;0.049006
8.475290;13.669443;15.495715;17.04940
6.043555;28.337829;10.138110;0.156906
8.529080;17.041418;17.636118;8.241802
6.262156;13.010824;19.482903;7.787509
5.434731;14.663565;12.239582;1.721511
8.547894;10.344445;13.133842;45.57839
8.195228;25.664216;14.052354;1.089793
8.873241;15.975065;16.236895;11.50836
5.565138;20.519244;15.882553;0.641580
6.546063;19.652514;13.342883;1.224827
9.964732;11.648469;11.169516;44.52155
5.466349;28.372347;11.315534;0.116787
5.604938;29.092539;11.518483;0.118868
8.566465;17.297705;17.732206;7.944343
7.927165;29.376369;17.063249;0.675504
5.388656;27.142875;10.651271;0.123892
6.527516;13.828298;19.497167;7.210665
9.732398;35.321316;17.416082;0.749391
7.717309;31.248439;18.731007;0.520578
8.014392;30.148491;17.403544;0.648918
5.454419;18.215373;14.568078;0.873881
5.615016;16.981582;13.424357;1.196674
7.477967;25.491774;15.371915;0.849417
9.132517;34.468298;18.047164;0.664101
7.665961;38.593114;13.730154;0.160045
6.428119;32.237956;11.969065;0.141659
7.679998;35.195085;11.436727;0.193950
6.654217;29.249077;19.524285;0.391025
7.439982;16.756815;19.624580;5.681621
6.479575;22.960380;15.681103;0.742346
5.016855;29.984892;13.289552;0.078178
7.249743;21.458343;13.139409;1.276530
5.996777;37.936991;16.631106;0.078030
6.137974;29.644400;10.820318;0.148830
5.936774;12.495913;19.790394;7.510438
8.101813;39.196631;13.260794;0.181148
5.312562;38.842162;18.602985;0.049084
7.407770;10.538066;15.543171;28.25309
7.069465;36.372676;13.442853;0.143681
7.994267;32.557367;19.049711;0.517370
7.423219;11.426100;16.104295;21.35877
5.607001;23.613009;17.861337;0.424376
6.453263;33.520658;12.773912;0.131434
7.335725;35.592115;12.389961;0.167329
6.225219;34.938982;14.175550;0.107132
6.080390;10.944164;18.468662;13.10336
6.612660;39.521221;16.455494;0.096817
9.748722;25.156378;10.606809;1.782810
8.312415;17.694948;18.505136;6.712675
9.119189;22.866949;10.339588;1.948844
8.435091;24.674079;12.912538;1.315026
5.389873;19.870562;15.800629;0.638586
5.316445;39.749724;19.200260;0.046353
7.048879;20.431145;12.856338;1.358117
9.889900;30.957466;14.191845;1.102571
7.860274;36.687861;12.071358;0.190271
8.565587;12.846055;14.766196;21.73014
9.396563;22.573120;19.588954;4.382752
8.596196;14.417710;15.752749;14.82183
9.006611;22.425609;10.270516;1.991285
5.867896;15.149360;11.697115;1.962248
6.541012;36.415140;14.528070;0.113399
6.433259;39.218249;16.612315;0.090326
9.085563;37.558864;10.201450;0.261017
6.529208;29.667623;10.053332;0.176382
7.714989;30.190126;18.030106;0.574298
9.469571;30.435356;14.684428;1.026559
9.466964;39.448139;10.698164;0.265170
7.629691;14.801792;17.941812;9.432907
9.825352;30.179739;13.802455;1.156403
5.076094;28.300713;12.048286;0.093500
9.119746;13.290233;13.953996;23.03192
7.662932;38.948640;13.973229;0.156783
9.723042;38.691071;19.681297;0.586318
5.591172;28.722391;11.299249;0.121515
9.847418;34.602365;16.706741;0.817891
9.161752;23.460923;10.650444;1.845919
5.142243;29.899659;12.981954;0.085219
7.907298;39.529316;13.871614;0.166289
6.585571;37.648950;15.261492;0.107174
9.815459;32.716736;15.513572;0.937730
7.931277;20.038707;10.829918;1.980665
8.341802;21.554129;11.019148;1.842424
8.320793;33.889866;19.284992;0.523594
8.044484;38.286301;12.768565;0.186213
9.626982;20.114330;17.488922;6.835577
6.933298;21.708618;13.939149;1.081756
8.947898;27.505846;13.774768;1.150515
6.248075;38.686934;16.628474;0.084980
8.076500;15.808052;17.719036;8.991563
9.536226;36.350576;18.494598;0.654153
5.915999;26.269042;19.014031;0.365715
8.811574;36.120355;19.790422;0.523696
8.062854;23.947067;13.172337;1.262306
7.126371;27.408007;17.352595;0.592284
5.882208;15.010960;11.576225;2.034233
9.173742;24.394759;11.249021;1.676801
7.367700;35.961794;12.572463;0.165790
5.806516;15.924493;12.336629;1.625594
8.510230;14.748856;16.145444;13.32625
6.610819;20.508808;13.784235;1.109902
7.145696;10.073081;15.757329;29.70485
7.119031;20.354587;12.664997;1.412946
8.487062;27.515210;14.702682;0.992827
9.043095;34.566236;18.291302;0.639862
9.315345;21.383847;18.958542;5.086616
7.726940;20.921922;11.827401;1.640242
5.593403;11.058653;19.518963;9.514292
6.457707;31.708755;11.557089;0.148817
5.042482;36.355101;17.485104;0.048774
8.698522;23.226938;11.420914;1.674511
8.423344;22.946396;11.784242;1.595095
6.489264;23.043803;15.717340;0.737751
7.010625;16.768760;10.491258;2.388202
9.191152;29.708873;14.756944;1.008471
7.936619;35.110653;10.867197;0.212139
8.199210;24.861011;13.508922;1.191872
8.112466;15.328383;17.327323;10.12384
6.041079;39.272563;17.432884;0.073389
6.902226;19.553293;12.564410;1.454418
5.781691;18.481508;14.090957;1.006740
5.521674;12.929510;10.909660;2.703713
8.218889;10.761205;14.069691;35.63527
9.553191;38.993740;10.222777;0.275161
5.289126;33.829162;15.307856;0.068754
9.160096;12.031670;13.034255;32.59645
5.308172;17.169877;14.163574;0.965201
9.600078;25.001573;10.800892;1.749947
7.596671;21.283064;12.328701;1.491849
9.708964;23.711431;19.723025;4.131246
5.673675;20.207605;15.457720;0.716998
6.794052;27.499129;18.077982;0.503226
9.335726;23.975166;10.645325;1.823980
9.397069;34.780461;17.726170;0.705223
9.974752;27.140142;11.477257;1.560992
7.669763;32.643654;19.756243;0.449984
5.812246;39.684120;18.164921;0.062917
9.854740;34.038919;16.316467;0.855453
9.277698;39.323630;10.993691;0.254586
8.729140;26.902454;13.810023;1.141673
6.900042;39.192407;15.661522;0.112854
6.339895;20.649965;14.420186;0.955809
7.490191;35.797091;12.217679;0.175242
6.205593;12.331833;19.143370;9.142598
9.377977;32.581114;16.298121;0.834868
6.112882;23.404181;16.710357;0.580742
9.426734;13.225239;13.296691;25.54986
6.800949;29.351595;19.299164;0.415820
8.871702;34.238194;18.415392;0.619980
9.189752;32.297354;16.485398;0.806463
7.682998;30.149949;18.067303;0.569032
6.061276;19.066376;13.921699;1.060591
6.326621;36.689231;15.139578;0.100433
8.904290;36.371199;19.772219;0.530674
7.728539;36.267348;12.054487;0.185976
6.089145;17.579298;12.874575;1.381833
8.926806;39.311877;11.687638;0.232335
7.565839;21.360847;12.442220;1.459878
8.197936;33.686047;19.394825;0.508313
9.882999;32.534566;15.257046;0.969213
9.007173;14.213970;14.794968;17.76139
8.126862;35.920349;11.026509;0.216014
7.996732;29.775589;17.190262;0.667717
6.748743;17.997324;11.834064;1.744073
9.368807;26.147496;12.027384;1.477856
6.904470;35.727809;13.342933;0.139393
9.087618;38.971229;11.138917;0.246182
7.092196;28.263343;17.991170;0.532853
7.035873;29.628619;19.014001;0.451875
6.521389;37.065219;15.000702;0.107819
7.124373;35.426534;12.702276;0.155534
8.344470;30.822092;17.192455;0.689544
8.834769;16.004754;16.333632;11.29337
7.311939;22.370109;13.622861;1.159686
5.002185;20.360886;16.902888;0.460051
9.441796;37.831542;19.670771;0.570113
8.031483;17.132419;18.691980;6.724458
